"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","shannon_unique"
"179",590,"WT","FMT","1DPI","F","TBI",0.621180552188533
"180",591,"WT","FMT","1DPI","F","TBI",1.57704886597906
"181",592,"WT","FMT","1DPI","F","TBI",0.11361661117025
"182",592,"WT","FMT","3DPI","F","TBI",1.4257111668725
"183",592,"WT","FMT","BA","F","TBI",3.01481681408733
"184",593,"WT","VEH","1DPI","F","TBI",0.913304460173917
"185",593,"WT","VEH","3DPI","F","TBI",0.907212055302147
"186",593,"WT","VEH","BA","F","TBI",1.99250425261378
"187",594,"WT","VEH","1DPI","F","TBI",1.6732565556016
"188",595,"WT","FMT","1DPI","M","TBI",0.589309909559381
"189",596,"WT","FMT","1DPI","M","TBI",1.07134353434306
"190",597,"WT","FMT","1DPI","M","TBI",1.85133518098631
"191",597,"WT","FMT","3DPI","M","TBI",1.93108766544519
"192",597,"WT","FMT","BA","M","TBI",1.97212149732957
"193",598,"WT","VEH","1DPI","M","TBI",0.596858731238431
"194",599,"WT","VEH","1DPI","M","TBI",1.69481339527416
"195",600,"HEMI","VEH","1DPI","M","TBI",0.178802228365504
"196",601,"HEMI","VEH","1DPI","M","TBI",0.344094598573482
"197",602,"HEMI","FMT","1DPI","M","TBI",1.53397876252635
"198",603,"HEMI","FMT","1DPI","M","TBI",0.687972651915426
"199",604,"WT","VEH","1DPI","M","TBI",1.18853778952114
"200",605,"WT","VEH","1DPI","M","TBI",0.568995624335169
"201",606,"WT","FMT","1DPI","M","TBI",0.0882910963171461
"202",606,"WT","FMT","3DPI","M","TBI",1.67361607497801
"203",606,"WT","FMT","BA","M","TBI",2.52236865263007
"204",607,"WT","FMT","1DPI","M","TBI",0.889137877419144
"205",608,"WT","FMT","1DPI","M","TBI",0.694657623921915
"206",609,"HEMI","VEH","1DPI","F","TBI",1.13013843981924
"207",610,"HEMI","VEH","1DPI","F","TBI",1.01817557827861
"208",611,"HEMI","FMT","1DPI","F","TBI",1.49679257479177
"209",612,"HEMI","FMT","1DPI","F","TBI",1.10483983211795
"210",612,"HEMI","FMT","3DPI","F","TBI",2.23044664477933
"211",612,"HEMI","FMT","BA","F","TBI",2.73489733880712
"212",613,"HEMI","FMT","1DPI","F","TBI",1.5861277807895
"213",614,"WT","FMT","1DPI","F","TBI",1.13093103865096
"214",614,"WT","FMT","3DPI","F","TBI",2.16422441809117
"215",614,"WT","FMT","BA","F","TBI",2.7002253404261
"216",615,"WT","FMT","1DPI","F","TBI",1.35909166922407
"217",616,"WT","VEH","1DPI","F","TBI",1.34855412477805
"218",616,"WT","VEH","3DPI","F","TBI",1.68150434755076
"219",616,"WT","VEH","BA","F","TBI",2.06104784760115
"220",617,"WT","VEH","1DPI","F","TBI",1.604245655864
"221",618,"WT","VEH","1DPI","F","TBI",1.146404170277
"222",618,"WT","VEH","3DPI","F","TBI",1.30618221382202
"223",618,"WT","VEH","BA","F","TBI",2.91514941953026
"224",619,"HEMI","VEH","1DPI","M","TBI",1.10588919360508
"225",619,"HEMI","VEH","3DPI","M","TBI",1.38591508531389
"226",619,"HEMI","VEH","BA","M","TBI",1.92996691537559
"227",620,"HEMI","VEH","1DPI","M","TBI",1.16872324117141
"228",620,"HEMI","VEH","3DPI","M","TBI",1.09060787794563
"229",620,"HEMI","VEH","BA","M","TBI",2.10183682424298
"230",621,"HEMI","FMT","1DPI","M","TBI",1.53089952303164
"231",621,"HEMI","FMT","3DPI","M","TBI",1.80290070465244
"232",621,"HEMI","FMT","BA","M","TBI",2.26799820420467
"233",622,"HEMI","FMT","1DPI","M","TBI",0.637386884437841
"234",622,"HEMI","FMT","3DPI","M","TBI",1.54682608834821
"235",622,"HEMI","FMT","BA","M","TBI",1.81316222093896
"236",623,"WT","FMT","1DPI","M","TBI",0.379708003993618
"237",623,"WT","FMT","3DPI","M","TBI",1.27783604759816
"238",623,"WT","FMT","BA","M","TBI",2.0821532104983
"239",624,"WT","FMT","1DPI","M","TBI",0.285107365372926
"240",624,"WT","FMT","3DPI","M","TBI",0.782216679764656
"241",624,"WT","FMT","BA","M","TBI",2.66874212236741
"242",625,"WT","VEH","1DPI","M","TBI",0.6311641715985
"243",625,"WT","VEH","3DPI","M","TBI",1.13569846954163
"244",625,"WT","VEH","BA","M","TBI",2.06537552491427
"245",626,"WT","VEH","1DPI","M","TBI",0.621196854776733
"246",626,"WT","VEH","3DPI","M","TBI",1.17690606147918
"247",626,"WT","VEH","BA","M","TBI",2.42372968031139
"248",627,"WT","VEH","1DPI","M","TBI",0.323852690822697
"249",627,"WT","VEH","3DPI","M","TBI",1.31089794619937
"250",627,"WT","VEH","BA","M","TBI",1.95408052410627
"251",628,"HEMI","FMT","1DPI","F","TBI",1.54247915823066
"252",628,"HEMI","FMT","3DPI","F","TBI",1.83195681095448
"253",628,"HEMI","FMT","BA","F","TBI",2.27251517535759
"254",629,"HEMI","FMT","1DPI","F","TBI",0.878640502101949
"255",629,"HEMI","FMT","3DPI","F","TBI",1.93149061778111
"256",629,"HEMI","FMT","BA","F","TBI",2.39258092260986
"257",630,"HEMI","VEH","1DPI","F","TBI",0.830887543597845
"258",630,"HEMI","VEH","3DPI","F","TBI",1.54537998435525
"259",630,"HEMI","VEH","BA","F","TBI",2.587422377414
"260",631,"HEMI","VEH","1DPI","F","TBI",1.09853411594672
"261",631,"HEMI","VEH","3DPI","F","TBI",1.57824878697949
"262",631,"HEMI","VEH","BA","F","TBI",2.00316533267669
"263",632,"HEMI","VEH","1DPI","F","TBI",1.18900131672462
"264",632,"HEMI","VEH","3DPI","F","TBI",1.94074853336654
"265",632,"HEMI","VEH","BA","F","TBI",2.79922701062234
"266",633,"WT","VEH","1DPI","F","TBI",0.764948862080104
"267",633,"WT","VEH","3DPI","F","TBI",0.988769562872577
"268",633,"WT","VEH","BA","F","TBI",3.64109915732259
"269",634,"WT","VEH","1DPI","F","TBI",0.580920352450065
"270",634,"WT","VEH","3DPI","F","TBI",1.08093117641295
"271",634,"WT","VEH","BA","F","TBI",3.14827392543328
"272",635,"WT","FMT","1DPI","F","TBI",0.995433985048248
"273",635,"WT","FMT","3DPI","F","TBI",1.72239668704799
"274",635,"WT","FMT","BA","F","TBI",1.96797235714289
"275",636,"WT","FMT","1DPI","F","TBI",1.38153745377468
"276",636,"WT","FMT","3DPI","F","TBI",1.97295692005315
"277",636,"WT","FMT","BA","F","TBI",1.72342279237018
"278",637,"WT","FMT","1DPI","F","TBI",1.846649342657
"279",637,"WT","FMT","3DPI","F","TBI",1.87754091472395
"280",637,"WT","FMT","BA","F","TBI",2.80314070596244
