"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","chao1_unique"
"258",630,"HEMI","VEH","3DPI","F","TBI",34
"259",630,"HEMI","VEH","BA","F","TBI",89.375
"260",631,"HEMI","VEH","1DPI","F","TBI",19
"261",631,"HEMI","VEH","3DPI","F","TBI",53
"262",631,"HEMI","VEH","BA","F","TBI",86.4285714285714
"263",632,"HEMI","VEH","1DPI","F","TBI",22
"264",632,"HEMI","VEH","3DPI","F","TBI",53
"265",632,"HEMI","VEH","BA","F","TBI",85
"266",633,"WT","VEH","1DPI","F","TBI",28
"267",633,"WT","VEH","3DPI","F","TBI",35
"268",633,"WT","VEH","BA","F","TBI",197.071428571429
"269",634,"WT","VEH","1DPI","F","TBI",31
"270",634,"WT","VEH","3DPI","F","TBI",37
"271",634,"WT","VEH","BA","F","TBI",112.428571428571
"272",635,"WT","FMT","1DPI","F","TBI",6
"273",635,"WT","FMT","3DPI","F","TBI",44
"274",635,"WT","FMT","BA","F","TBI",84.2
"275",636,"WT","FMT","1DPI","F","TBI",14
"276",636,"WT","FMT","3DPI","F","TBI",79
"277",636,"WT","FMT","BA","F","TBI",64
"278",637,"WT","FMT","1DPI","F","TBI",46
"279",637,"WT","FMT","3DPI","F","TBI",73
"280",637,"WT","FMT","BA","F","TBI",106.125
