	Villapol_527_3DPI	Villapol_528_3DPI	Villapol_529_3DPI	Villapol_533_3DPI	Villapol_535_3DPI	Villapol_538_3DPI	Villapol_539_3DPI	Villapol_540_3DPI	Villapol_541_3DPI	Villapol_546_3DPI	Villapol_547_3DPI	Villapol_548_3DPI	Villapol_549_3DPI	Villapol_550_3DPI	Villapol_553_3DPI	Villapol_557_3DPI	Villapol_560_3DPI	Villapol_562_3DPI	Villapol_563_3DPI	Villapol_587_3DPI	Villapol_589_3DPI	Villapol_592_3DPI	Villapol_593_3DPI	Villapol_597_3DPI	Villapol_606_3DPI	Villapol_612_3DPI	Villapol_614_3DPI	Villapol_616_3DPI	Villapol_618_3DPI	Villapol_619_3DPI	Villapol_620_3DPI	Villapol_621_3DPI	Villapol_622_3DPI	Villapol_623_3DPI	Villapol_624_3DPI	Villapol_625_3DPI	Villapol_626_3DPI	Villapol_627_3DPI	Villapol_628_3DPI	Villapol_629_3DPI	Villapol_630_3DPI	Villapol_631_3DPI	Villapol_632_3DPI	Villapol_633_3DPI	Villapol_634_3DPI	Villapol_635_3DPI	Villapol_636_3DPI	Villapol_637_3DPI
g__CAG-873	0	0	0	0	50	0	0	96	28	0	0	158	77	0	228	37	9	0	157	0	0	77	0	46	463	312	555	0	0	0	0	0	0	60	0	0	0	304	7	362	0	0	0	0	0	156	516	69
g__COE1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	32	93	0	0	0	0	14
g__Caldibacillus_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cellulosilyticum	0	384	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cellulosimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cerasibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Choladousia	0	0	0	0	164	0	0	7	9	0	0	100	120	0	277	11	0	0	60	0	0	26	0	13	116	33	184	0	0	0	0	13	0	0	0	0	0	0	0	50	0	0	0	0	0	67	19	4
g__Clavibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridioides_A	0	0	48	0	0	0	47	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_AG_200053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_AQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_F	0	0	0	52	0	78	0	0	0	0	98	0	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_H_221916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium_J	0	0	248	7	0	350	407	17	0	0	0	0	7	0	0	0	0	0	0	3	47	50	0	0	0	0	0	0	157	43	89	0	0	0	80	0	0	0	0	0	0	0	0	21	0	0	0	0
g__Clostridium_T	180	456	1820	1991	68	1201	4515	30	78	516	0	0	0	0	0	0	0	18	0	0	1014	745	2427	0	0	0	5	0	455	553	444	0	0	0	0	380	1002	737	3	0	8	17	0	3586	991	0	0	0
g__Comamonas_F_589250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Coprosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Curtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dorea_D_143701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dubosiella	0	0	0	0	4336	0	0	2155	1412	9	0	371	1217	0	2862	1601	5192	23	8066	1707	0	503	0	282	2175	1450	4784	8251	27	0	0	41	32	2077	937	127	0	44	50	3341	1409	5769	4960	0	0	1096	3951	3687
g__Duncaniella	0	0	0	0	155	0	0	288	86	0	0	426	607	0	1328	593	123	11	907	123	0	908	0	2752	567	288	440	149	0	407	0	1570	166	34	18	0	0	0	43	161	181	258	1209	0	0	600	948	1361
g__Dysosmobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	51	0	0	0	52	0	0	0	0	0	0	0	20	0	8	0	0	0	0	0	38
g__Emergencia	0	0	0	0	13	97	0	0	0	0	0	0	4	0	25	0	0	0	33	0	0	0	0	0	0	0	32	0	0	0	0	0	0	6	0	0	0	83	0	0	0	0	0	0	0	0	5	2
g__Enterenecus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterocloster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	25	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_B	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_F_359103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus_H_360604	112	1348	1208	471	0	175	301	55	479	0	0	0	0	1723	252	297	3316	85	266	205	676	1698	1818	0	182	0	14	0	347	358	0	0	98	633	548	507	965	256	353	0	0	0	4	750	878	142	0	0
g__Enterorhabdus	0	0	0	0	0	0	0	9	9	0	0	6	12	0	32	13	24	0	0	0	0	13	0	0	23	0	25	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	0	0	0	11	6	0
g__Eubacterium_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
g__Eubacterium_G_180878	0	0	0	0	47	0	106	23	17	0	0	7	43	0	0	0	0	0	0	0	0	15	0	25	0	99	186	0	0	70	0	36	0	0	0	0	0	0	0	55	0	0	0	0	0	0	68	10
g__Eubacterium_R	0	0	0	0	46	0	0	0	3	0	0	0	0	0	29	0	0	0	292	0	0	155	0	0	0	119	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Eubacterium_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Evtepia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
g__Faecalibaculum	0	0	0	0	0	0	17	0	0	2240	0	0	0	0	60	934	0	0	0	0	0	0	0	0	947	3078	1618	0	0	0	0	0	10	1111	36	0	0	0	417	1194	0	0	0	11	0	994	161	33
g__Faecimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Fimenecus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Granulimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	90	0	0	0	0	0	0	0	0	0	0
g__Haemophilus_D_735815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
